Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10
Trastorno delirante,Anhedonia - relaciones con la familia,Ideas delirantes,Sentimiento de culpa,Eco del pensamiento,Anhedonia - relaciones con amigos,Desorganización del pensamiento,Obsesiones de presencia,Expresión facial reducida,Temblores,Contacto visual bajo
Depresión mayor con síntomas psicóticos,Anergia física,Preocupación,Contacto visual bajo,Irritabilidad,Abulia - higiene,Taquicardia,Anhedonia - relaciones con la familia,Déficit en el procesamiento de la información,Alogia - bloqueos del pensamiento,Temblores
Trastorno esquizotípico,Disminución del libido,Dificultades en teoría de la mente,Control del pensamiento,Hipervigilancia,Anhedonia - intereses recreativos,Anhedonia - intereses sexuales,Paranoia intensa,Sueño o fatiga,Contacto visual bajo,Anergia física
Trastorno bipolar con síntomas psicóticos,Déficit en el procesamiento de la información,Control del pensamiento,Cambios en el apetito,Deterioro de la atención,Taquicardia,Anhedonia - relaciones con la familia,Comportamiento social inadecuado,Afectividad inapropiada,Alogia - bloqueos del pensamiento,Comportamiento motor desorganizado
Trastorno esquizotípico,Expresión facial reducida,Hipoexpresividad emocional,Dificultades en teoría de la mente,Temblores,Comportamiento social inadecuado,Anhedonia - relaciones con la familia,Eco del pensamiento,Disnea,Hipervigilancia,Contacto visual bajo
Trastorno esquizoafectivo,Contacto visual bajo,Anhedonia - relaciones con amigos,Expresión facial reducida,Preocupación,Anhedonia,Alucinaciones,Hipoexpresividad emocional,Anhedonia - relaciones con la familia,Alogia - pobreza del habla,Anergia física
Depresión mayor con síntomas psicóticos,Alogia,Sentimiento de culpa,Anhedonia - relaciones con la familia,Anhedonia - sociabilidad,Deterioro de la atención,Cambios en el apetito,Abulia - higiene,Anergia física,Gesticulación reducida,Obsesiones de presencia
Trastorno delirante,Abulia - trabajo o estudio,Disnea,Alogia,Sentimiento de culpa,Obsesiones de presencia,Anhedonia - sociabilidad,Expresión facial reducida,Sueño o fatiga,Pensamientos intrusivos,Anergia física
Trastorno bipolar con síntomas psicóticos,Nerviosismo,Alogia,Abulia,Alogia - pobreza de contenido,Ideas suicidas,Abulia - trabajo o estudio,Comportamiento motor desorganizado,Expresión facial reducida,Taquicardia,Deterioro de la atención
Trastorno esquizotípico,Irritabilidad,Anhedonia - relaciones con la familia,Alogia - pobreza del habla,Hipoexpresividad emocional,Control del pensamiento,Sentimiento de culpa,Gesticulación reducida,Hipervigilancia,Déficit en el procesamiento de la información,Contacto visual bajo
